Title,Price,Original Price,Discount,Image URLs,Variants,Sizes,Description,Product Link
Summer Sweats | Blood Red,"1,500",N/A,N/A,https://cdn2.blanxer.com/uploads/65faa86cdc9b7600587d6a32/product_image-red-1673.webp,Blood Red,S;M;L;XL;XXL,"Stay cool and dry in our breathable Lycra cotton terry fabric, perfect for hot summer days.;Versatile for lounging, workouts, or daily outings, our sweats effortlessly suits any occasion.;Sweats are built tough for lasting wear, wash after wash.;Sleek and modern, our sweats effortlessly elevate your summer style. Pair with joggers, trousers, or jeans for a laid-back, fashionable look.;5 Sizes Available;S - M - L - XL - XXL;Color : Blood Red;Dip-wash or Machine Wash is preferred;Home Delivery All Over Nepal | Cash On Delivery",https://tntstore.online/product/summer-sweats-or-blood-red
Zipped Sweater | Dusty Pink,"2,500",N/A,N/A,https://cdn2.blanxer.com/uploads/65faa86cdc9b7600587d6a32/product_image-75-2191.webp,Dusty Pink,M;L;XL,"Sweater fleece material for ultimate style and comfort.;Versatile for any occasion.;Flattering, & comfortable.;Functional quarter-zip.;Durable quality for seasons of wear.;3 Sizes Available,M - L - XL.;Dip-wash or Machine Wash is preferred.;Home Delivery All Over Nepal | Cash On Delivery",https://tntstore.online/product/zipped-sweater-or-pink
Light Wt Polo T-Shirt | Black,"1,000","1,100",9% off,https://cdn2.blanxer.com/uploads/65faa86cdc9b7600587d6a32/product_image-76-7113.webp,Black,S;M;L;XL;XXL,Micro Pique Polyester;High Quality Polo Shirts;Half Sleeves T-shirt;Lint Proof;5 Sizes Available S - M - L - XL - XXL;Color : Black;Hand Wash is preferred;Home Delivery All Over Nepal |Cash On Delivery,https://tntstore.online/product/light-wt-polo-t-shirt-or-black
Light Wt Polo T-Shirt | Mint,"1,000","1,100",9% off,https://cdn2.blanxer.com/uploads/65faa86cdc9b7600587d6a32/product_image-72-9418.webp,Mint,S;M;L;XL;XXL,Micro Pique Polyester;High Quality Polo Shirts;Half Sleeves T-shirt;Lint Proof;Sizes Available S - M - L - XL - XXL;Color : Mint;Hand Wash is preferred;Home Delivery All Over Nepal | Cash On Delivery,https://tntstore.online/product/light-wt-polo-t-shirt-or-mint
Winter Sweats | Maroon | Regular fit,"2,200","2,400",8% off,https://cdn2.blanxer.com/uploads/65faa86cdc9b7600587d6a32/product_image-8-1713.webp,Maroon,L;XL;XXL,"Fabric: Velvet Fleece, Fleece inside;Available in Regular Fit;Perfect for layering;Keeps warm at all times;Bold printed logo;Sizes: M, L & XL;Dip-wash or Machine Wash is preferred;Home Delivery All Over Nepal | Cash On Delivery",https://tntstore.online/product/winter-sweats-or-maroon-or-regular-fit
Plain Hoodie | Grey,"2,800","3,000",7% off,https://cdn2.blanxer.com/uploads/65faa86cdc9b7600587d6a32/product_image-42-8663.webp,Grey,M;L;XL,"Velvet fleece fabric,;350 GSM fabric,;Double layered hood,;Kangaroo pockets,;DTF Logo in the front,;Durable quality for seasons of wear,;3 Sizes available,;M, L & XL;Dip-wash or Machine Wash is preferred;Home Delivery All Over Nepal | Cash On Delivery",https://tntstore.online/product/plain-hoodie-or-grey
Zipped Sweaters | Off White,"2,500",N/A,N/A,https://cdn2.blanxer.com/uploads/65faa86cdc9b7600587d6a32/product_image-78-9069.webp,Off White,M;L;XL,"Sweater fleece material for ultimate style and comfort.;Versatile for any occasion.;Flattering, & comfortable.;Functional quarter-zip.;Durable quality for seasons of wear.;3 Sizes Available,M - L - XL.;Dip-wash or Machine Wash is preferred.;Home Delivery All Over Nepal | Cash On Delivery",https://tntstore.online/product/zipped-sweaters-or-off-white
Jacquard Shirt | Black,"1,700",N/A,N/A,https://cdn2.blanxer.com/uploads/65faa86cdc9b7600587d6a32/product_image-133-3047.webp,Black,M;L;XL;XXL,"Premium 290 GSM cotton Jacquard;Revered Collars;Tonal Buttons;Relaxed fit and soft material;Casual Unisex wear;Available in 4 sizes;M, L, XL & XXL;Dip-wash or Machine Wash is preferred;Home Delivery All Over Nepal | Cash On Delivery",https://tntstore.online/product/jacquard-shirt-or-black
Regular Blank T-shirt  | Maroon,850,N/A,N/A,https://cdn2.blanxer.com/uploads/65faa86cdc9b7600587d6a32/product_image-117-1519.webp,Maroon,M;L;XL;XXL,Bio-washed High Quality Cotton T-Shirt ( 200 GSM );Half Sleeves T-shirt;Round Neck with Lycra Rib;Anti Color Fade;Lint Proof;6 Sizes AvailableXS - S- M - L - XL - XXL;Color : Maroon;Dip-wash or Machine Wash is preferred;Home Delivery All Over Nepal | Cash On Delivery,https://tntstore.online/product/regular-blank-t-shirt-or-maroon
Cargo pant | Beige,"2,600","2,800",7% off,https://cdn2.blanxer.com/uploads/65faa86cdc9b7600587d6a32/product_image-26-6560.webp,Beige,29;30;31;32;34;36,"Slim fit,;Cotton Twill fabric;Features a sleek logo,;Adjustable Waist,;Innovative design to keeps your look smooth, even when seated,;Sizes 29 - 36;Dip-wash or Machine Wash is preferred;Home Delivery All Over Nepal | Cash On Delivery",https://tntstore.online/product/cargo-pant-or-beige
