product_id,product_name,description,color,size,material,image_url,price,discount_price,discount_percent,category,brand,stock_quantity,audience,tags,created_at,availability_status
1,Men's Summer T-Shirt,Lightweight t-shirt ideal for warm weather.,"Blue,Green,White","S,M,L",Cotton,https://www.google.com ,29.99,23.99,20.0,T-Shirts,ActiveWear,75,men,"summer, casual, cotton, breathable, beach, plain, men",2025-06-01,in_stock
2,Women's Winter Coat,Warm and elegant coat for cold days.,"Black,Purple,Red","M,L,XL",Wool,https://www.google.com ,149.99,129.99,13.33,Coats,CozyThreads,30,women,"winter, formal, wool, work, patterned, women",2025-05-15,in_stock
3,Women's Casual Blouse,Flowy blouse for everyday wear.,"Pink,White","S,M,L",Cotton,https://www.google.com ,34.99,29.74,15.0,Blouses,BreezyWear,50,women,"spring, casual, cotton, work, plain, women",2025-06-10,in_stock
4,Men's Athletic Hoodie,Comfortable hoodie for workouts.,"Gray,Blue","M,L,XL",Polyester,https://www.google.com ,49.99,42.49,15.0,Hoodies,SportPulse,40,men,"spring, trendy, breathable, gym, logo, men",2025-06-05,in_stock
5,Women's Beach Sarong,Flowy sarong for beach or casual wear.,"White,Green","S,M,XL",Linen,https://www.google.com ,24.99,19.99,20.0,Sarongs,SummerVibe,25,women,"summer, casual, linen, beach, striped, women",2025-05-20,in_stock
6,Kids' Winter Jacket,Cozy jacket with fun designs for kids.,"Red,Blue,Yellow","XS,S,M",Polyester,https://www.google.com ,59.99,50.99,15.0,Jackets,TinyTrends,0,kids,"winter, casual, waterproof, school, graphic, princess",2025-06-12,coming_soon
7,Men's Formal Shirt,Crisp shirt for professional settings.,"White,Black","M,L,XL",Cotton,https://www.google.com ,49.99,44.99,10.0,Shirts,ClassyFit,0,men,"fall, formal, cotton, work, plain, men",2025-06-08,out_of_stock
8,Women's Yoga Pants,Stretchy pants for workouts or lounging.,"Purple,Gray,Blue","S,M,L",Spandex,https://www.google.com ,39.99,31.99,20.0,Yoga Pants,FlexWear,40,women,"spring, trendy, stretch, gym, home, solid, women",2025-05-25,in_stock
9,Kids' Denim Overalls,Durable overalls for playtime.,Blue,"XS,S,M",Denim,https://www.google.com ,39.99,33.99,15.0,Overalls,TinyTrends,35,kids,"fall, casual, denim, school, graphic, kids",2025-06-03,in_stock
10,Unisex Fleece Jacket,Cozy jacket for cool days.,"Green,Black","M,L,XL",Polyester,https://www.google.com ,59.99,50.99,15.0,Jackets,CozyFit,45,unisex,"fall, casual, warm, travel, plain, gender-neutral",2025-06-11,in_stock
11,Men's Denim Jacket,Stylish jacket for cool evenings.,Blue,"M,L,XL",Denim,https://www.google.com ,69.99,59.99,14.29,Jackets,UrbanTrend,25,men,"fall, trendy, denim, party, logo, men",2025-06-07,in_stock
12,Women's Party Dress,Elegant dress for special occasions.,"Red,Purple,Black","S,M,L",Polyester,https://www.google.com ,89.99,76.49,15.0,Dresses,GlamWear,0,women,"winter, formal, stretch, party, patterned, women",2025-06-09,coming_soon
13,Men's Cargo Shorts,Durable shorts for outdoor activities.,"Green,Black","M,L,XL",Cotton,https://www.google.com ,34.99,29.99,14.29,Shorts,OutdoorGear,60,men,"summer, casual, cotton, breathable, travel, plain, men",2025-06-10,in_stock
14,Women's Evening Gown,Elegant gown for formal events.,"Purple,Red,Blue","S,M,L",Silk,https://www.google.com ,199.99,169.99,15.0,Gowns,LuxeWear,20,women,"winter, formal, stretch, party, patterned, women",2025-06-11,preorder
15,Unisex Raincoat,Waterproof coat for rainy days.,"Yellow,Blue,Gray,White","M,L,XL",Nylon,https://www.google.com ,59.99,53.99,10.0,Raincoats,WeatherWise,40,unisex,"fall, classic, waterproof, travel, plain, gender-neutral",2025-06-12,in_stock
16,Kids' Summer Dress,Light and colorful dress for kids.,"Red,Purple","XS,S,M",Cotton,https://www.google.com ,24.99,19.99,20.0,Dresses,TinyBloom,35,kids,"summer, casual, cotton, beach, graphic, princess",2025-06-09,in_stock
17,Men's Business Suit,Tailored suit for professional settings.,"Black,Gray","M,L,XL",Wool,https://www.google.com ,249.99,224.99,10.0,Suits,SharpLook,0,men,"fall, formal, wool, work, plain, men",2025-06-08,out_of_stock
18,Women's Denim Skirt,Stylish skirt for casual outings.,Blue,"S,M,L",Denim,https://www.google.com ,39.99,33.99,15.0,Skirts,UrbanChic,50,women,"spring, trendy, denim, party, logo, women",2025-06-07,in_stock
19,Women's Knit Sweater,Soft sweater for chilly evenings.,"Purple,Gray","S,M,L",Wool,https://www.google.com ,54.99,46.74,15.0,Sweaters,WarmWear,30,women,"winter, casual, wool, home, patterned, women",2025-06-06,in_stock
20,Kids' Graphic Hoodie,Fun hoodie with colorful designs.,"Red,Yellow","XS,S,M",Cotton,https://www.google.com ,29.99,25.49,15.0,Hoodies,PlayWear,50,kids,"winter, casual, cotton, school, graphic, kids",2025-06-12,in_stock
21,Men's Lounge Pants,Comfortable pants for home relaxation.,"Gray,Green,Black","M,L,XL",Cotton,https://www.google.com ,29.99,23.99,20.0,Lounge Pants,RelaxFit,0,men,"winter, casual, cotton, home, striped, men",2025-06-05,discontinued
22,Women's Swimwear,Stylish one-piece for beach or pool.,"Red,White,Purple,Blue","S,M,L",Spandex,https://www.google.com ,49.99,42.49,15.0,Swimwear,AquaVibe,30,women,"summer, trendy, stretch, beach, patterned, women",2025-06-04,in_stock
23,Men's Athletic Jacket,Breathable jacket for outdoor workouts.,"Blue,White,Red","M,L,XL",Polyester,https://www.google.com ,69.99,59.99,14.29,Jackets,SportPulse,50,men,"spring, trendy, breathable, gym, logo, men",2025-06-12,in_stock
24,Women's Formal Blouse,Elegant blouse for professional settings.,"White,Purple","S,M,L",Cotton,https://www.google.com ,44.99,38.24,15.0,Blouses,ElegantFit,35,women,"fall, formal, cotton, work, plain, women",2025-06-11,in_stock
25,Men's Casual Polo,Breathable polo for casual outings.,"White,Blue","M,L,XL",Cotton,https://www.google.com ,34.99,29.74,15.0,Polos,RelaxFit,55,men,"summer, casual, cotton, breathable, plain, men",2025-06-10,in_stock
26,Kids' Swim Trunks,Colorful trunks for pool or beach fun.,"Red,Blue,Yellow,Green","XS,S,M",Nylon,https://www.google.com ,19.99,16.99,15.0,Swim Trunks,AquaTots,60,kids,"summer, casual, stretch, beach, graphic, dinosaur",2025-06-09,in_stock
27,Women's Maxi Dress,Elegant dress for summer days.,"Red,Blue","S,M,L",Linen,https://www.google.com ,69.99,59.49,15.0,Dresses,SummerVibe,25,women,"summer, casual, linen, beach, patterned, women",2025-06-08,in_stock
28,Women's Denim Jeans,Comfortable jeans for everyday wear.,"Blue,Black","S,M,L,XL",Denim,https://www.google.com ,59.99,50.99,15.0,Jeans,CityStyle,45,women,"spring, casual, denim, party, plain, women",2025-06-07,in_stock
